,Standard Limit Minimum,Standard Limit Maximum,Source of Data,,,,
Inorganic Parameters,,,,,,,
Antimony,0.003 mg/l,0.05 mg/l,WHO(https://www.who.int/publications/i/item/9789241513760),,,,
Arsenic,0.007 mg/l,0.5 mg/l,WHO,https://www.who.int/publications/i/item/9789241513760,,,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf
Barium,0.1 mg/l,2.0 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
Beryllium,0.0002 mg/l,0.06 mg/l,WHO,,,,
Boron,0.2 mg/l,5 mg/l,WHO,,,,
Bromate,0.005 mg/l,0.025 mg/l,WHO,,,,
Cadmium,0.001 mg/l,0.05 mg/l,WHO,,,,
Chlorate,0.05 mg/l,1.0 mg/l,WHO,,,,
Chlorine,0.1 mg/l,5.0 mg/l,WHO,,,,
Chlorite,0.05 mg/l,1.0 mg/l,WHO,,,,
Chromium,0.04 mg/l,0.5 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
Copper,0.05 mg/l,3.0 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
Cyanide,0.01 mg/l,0.6 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
Fluoride,0.6 mg/l,4.0 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
Glyphosate,0.01 mg/l,1.0 mg/l,WHO,,,,
Lead,0.005 mg/l,0.1 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
Manganese,0.05 mg/l,0.5 mg/l,WHO,,,,
Mercury,0.0005 mg/l,0.007 mg/l,WHO,https://www.indiawaterportal.org/sites/default/files/2020-11/indian_standard_for_drinking_water_as_per_bis_specifications_is_10500-_2012_-_a_presentation_by_arghyam.pdf,,,
